Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
78668,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,2002-08-11,Parts per billion,11.458333,25.0,5,24,Parts per million,0.067333,0.111,11,190,Parts per billion,4.55,11.3,11,,Parts per million,0.0,0.0,0,
13093,6,13,1002,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,2013-03-13,Parts per billion,10.743478,19.2,21,18,Parts per million,0.029333,0.058,12,61,Parts per billion,0.718182,1.4,5,1.0,Parts per million,0.395833,0.5,21,6.0
110974,42,133,8,HILL ST.,Pennsylvania,York,York,2013-03-21,Parts per billion,7.875,16.0,5,15,Parts per million,0.031667,0.038,8,35,Parts per billion,0.583333,4.0,23,6.0,Parts per million,0.029167,0.1,5,
68475,19,163,15,10TH ST. & VINE ST. DAVENPORT,Iowa,Scott,Davenport,2013-07-11,Parts per billion,6.727273,19.7,23,18,Parts per million,0.028083,0.041,11,35,Parts per billion,0.271429,0.9,17,,Parts per million,0.245833,0.3,0,3.0
64200,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2012-08-17,Parts per billion,8.0,8.0,0,8,Parts per million,0.02725,0.041,12,35,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.316667,0.5,21,
19998,6,37,5005,7201 W. WESTCHESTER PARKWAY,California,Los Angeles,Los Angeles,2009-05-20,Parts per billion,24.75,30.0,6,28,Parts per million,0.031667,0.042,12,36,Parts per billion,0.916667,3.0,8,4.0,Parts per million,0.126087,0.3,7,
78786,25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,2013-12-22,Parts per billion,15.818182,28.0,5,26,Parts per million,0.008208,0.017,0,14,Parts per billion,1.377273,2.5,10,3.0,Parts per million,0.311364,0.489,5,
7940,5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2015-12-23,Parts per billion,4.0625,7.5,19,7,Parts per million,0.023958,0.03,11,28,Parts per billion,0.683333,0.9,16,0.0,Parts per million,0.289625,0.344,19,
80731,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2005-10-29,Parts per billion,22.083333,42.0,20,40,Parts per million,0.02975,0.047,10,40,Parts per billion,3.0,5.0,10,7.0,Parts per million,0.216667,0.4,5,
21330,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,2010-06-16,Parts per billion,15.565217,25.6,23,24,Parts per million,0.029583,0.046,12,39,Parts per billion,0.114286,0.5,8,,Parts per million,0.2,0.3,12,
94164,39,35,60,E. 14TH & ORANGE,Ohio,Cuyahoga,Cleveland,2011-10-11,Parts per billion,28.5,41.0,18,39,Parts per million,0.010042,0.018,8,15,Parts per billion,4.9,6.0,17,,Parts per million,0.436636,0.74,18,
104113,42,11,11,1059 Arnold Road,Pennsylvania,Berks,Not in a city,2011-10-25,Parts per billion,11.083333,27.0,19,25,Parts per million,0.016333,0.036,9,31,Parts per billion,0.0,0.0,2,,Parts per million,0.0,0.0,0,0.0
116898,48,201,1039,4514 1/2 Durant St,Texas,Harris,Deer Park,2012-01-14,Parts per billion,19.354167,32.6,8,30,Parts per million,0.018,0.038,10,32,Parts per billion,1.086957,5.1,15,7.0,Parts per million,0.356375,0.723,5,
69045,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,2015-01-27,Parts per billion,17.404167,33.9,19,31,Parts per million,0.021667,0.038,11,35,Parts per billion,1.304348,7.2,15,10.0,Parts per million,0.2,0.2,0,2.0
95369,38,17,1004,4266 40TH AVE NORTH,North Dakota,Cass,Not in a city,2014-05-10,Parts per billion,6.304167,22.4,4,21,Parts per million,0.037333,0.051,10,47,Parts per billion,0.1,0.2,20,,Parts per million,0.206042,0.314,4,
71757,42,11,9,UGI CO MONGANTOWN RD AND PROSPECT ST,Pennsylvania,Berks,Reading,2000-07-31,Parts per billion,11.041667,18.0,5,17,Parts per million,0.017208,0.032,10,27,Parts per billion,4.291667,18.0,5,26.0,Parts per million,0.166667,0.3,10,3.0
44936,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2013-06-21,Parts per billion,7.391304,14.6,21,13,Parts per million,0.021125,0.032,9,30,Parts per billion,0.559091,1.0,7,1.0,Parts per million,0.23913,0.3,4,
71478,23,5,29,"356 State Street, Portland,  Maine",Maine,Cumberland,Portland,2012-06-22,Parts per billion,7.304167,12.9,8,11,Parts per million,0.03,0.042,10,36,Parts per billion,0.725,1.3,11,,Parts per million,0.433333,0.6,9,
